FID,BPUIC,BEZEICHNUN,GEMEINDENA,BFS_NUMMER,KANTONSKUE,E_WGS84,N_WGS84
586,8587755,"Bronschhofen, Würe",Wil (SG),3427,SG,9.034678820000000,47.479552990000002
587,8519211,Wil Güterbahnhof,Wil (SG),3427,SG,9.034369999999999,47.462429989999997
588,8578597,"Wil SG, Psychiatrie",Wil (SG),3427,SG,9.037859360000001,47.464854850000002
589,8503981,"Uetliburg SG, Birkenhalde",Gommiswald,3341,SG,9.031122930000000,47.238946270000000
590,8573997,"Mosnang, Aufeld",Mosnang,3394,SG,9.036764320000000,47.355550420000000
591,8506206,Wil SG,Wil (SG),3427,SG,9.040993050000001,47.462413239999997
592,8518973,Wil Matt (Abzw),Wil (SG),3427,SG,9.044909990000001,47.456910000000001
593,8573603,"Wil SG, Rose",Wil (SG),3427,SG,9.047160900000000,47.465805390000000
594,8578519,"Wolfikon SG, Engel",Kirchberg (SG),3392,SG,9.046365789999999,47.419748220000002
595,8503994,"Rieden SG, Freigaden",Kaltbrunn,3313,SG,9.042168560000000,47.226701740000003
596,8591680,"Wil SG, Altgruben",Wil (SG),3427,SG,9.050234570000001,47.474866429999999
597,8503978,"Ricken SG, Uznacherstrasse",Gommiswald,3341,SG,9.044284480000000,47.262397249999999
598,8591681,"Wil SG, Gruben",Wil (SG),3427,SG,9.050782330000001,47.473239540000002
599,8591682,"Wil SG, Klosterwiese",Wil (SG),3427,SG,9.052728269999999,47.463038060000002
600,8591792,"Wil SG, Grundstrasse",Wil (SG),3427,SG,9.055478400000000,47.474523390000002
601,8506673,"Wil SG, Spital",Wil (SG),3427,SG,9.056972950000000,47.466082340000000
602,8591672,"Wil SG, Weidle",Wil (SG),3427,SG,9.058558339999999,47.463253430000002
603,8573867,"Rufi, Freihof",Schänis,3315,SG,9.050907649999999,47.178429999999999
604,8573911,"Wil SG, Pflegezentrum",Wil (SG),3427,SG,9.060185760000000,47.465290690000003
605,8573912,"Wil SG, Friedberg",Wil (SG),3427,SG,9.063429040000001,47.465065260000003
606,8515490,Ziegelbrücke West (Abzw),Schänis,3315,SG,9.055259220000000,47.138901609999998
