BPUIC;BEZEICHNUNG_OFFIZIELL;GEMEINDENAME;BFS_NUMMER;KANTONSKUERZEL;E_WGS84;N_WGS84
8591405;Zürich Uetlihof;Zürich;261.0;ZH;8.51396228;47.35673697
8591391;Zürich Technopark;Zürich;261.0;ZH;8.51535514;47.38906008
8591245;Zürich Laubegg;Zürich;261.0;ZH;8.51708694;47.35873174
8505163;Realp;Realp;1212.0;UR;8.50346;46.59863
8502204;Zug;Zug;1711.0;ZG;8.51504934;47.17370696
8591341;Zürich Schmiede Wiedikon;Zürich;261.0;ZH;8.51926439;47.3701532
8591329;Zürich Saalsporthalle;Zürich;261.0;ZH;8.52040528;47.35786416
8515993;Baar Lindenpark;Baar;1701.0;ZG;8.51705846;47.18313668
8591218;ZürichKalkbreite/Bhf.Wiedikon;Zürich;261.0;ZH;8.52133586;47.37442306
8580522;Zürich Escher-Wyss-Platz;Zürich;261.0;ZH;8.52239839;47.39079457
8591184;Zürich Helvetiaplatz;Zürich;261.0;ZH;8.52536242;47.37635659
8503099;Sihlau;Adliswil;131.0;ZH;8.52525;47.30315
8591306;Zürich Quellenstrasse;Zürich;261.0;ZH;8.52875295;47.38674098
8503015;Zürich Wipkingen;Zürich;261.0;ZH;8.52938237;47.39303887
8503311;Rümlang;Rümlang;97.0;ZH;8.53276732;47.45406561
8591283;Zürich Museum Rietberg;Zürich;261.0;ZH;8.53155697;47.36071856
8591246;Zürich Laubiweg;Zürich;261.0;ZH;8.53634;47.3949896
8591314;Zürich Regensbergbrücke;Zürich;261.0;ZH;8.53927515;47.40882307
8591237;Zürich Kronenstrasse;Zürich;261.0;ZH;8.53912229;47.38795596
8591168;Zürich Guggachstrasse;Zürich;261.0;ZH;8.54014349;47.39570899
8503000;Zürich HB;Zürich;261.0;ZH;8.54021235;47.37817667
8591071;Zürich Beckenhof;Zürich;261.0;ZH;8.54044623;47.38408444
8591105;Zürich Bürkliplatz;Zürich;261.0;ZH;8.54078393;47.36653921
8591379;Zürich Stampfenbachplatz;Zürich;261.0;ZH;8.54277677;47.38029176
8591373;Zürich Sonneggstrasse;Zürich;261.0;ZH;8.54369174;47.3828391
8591174;Zürich Haldenegg;Zürich;261.0;ZH;8.54451284;47.37964697
8576193;Zürich Bellevue;Zürich;261.0;ZH;8.54511301;47.36709298
8591354;Zürich Seebach;Zürich;261.0;ZH;8.5497765;47.42186436
8503200;Kilchberg;Kilchberg (ZH);135.0;ZH;8.5480164;47.32443157
8576198;Zürich Höschgasse;Zürich;261.0;ZH;8.55420383;47.35799234
8503201;Rüschlikon;Rüschlikon;139.0;ZH;8.55516265;47.30713187
8503083;Zürich Römerhof;Zürich;261.0;ZH;8.56028057;47.36808906
8530812;Zürich Hegibachplatz;Zürich;261.0;ZH;8.56062254;47.36169015
8576182;Zürich Tiefenbrunnen Bahnhof;Zürich;261.0;ZH;8.56099417;47.35041552
8591199;Zürich Hölderlinstrasse;Zürich;261.0;ZH;8.56239582;47.36611493
8503202;Thalwil;Thalwil;141.0;ZH;8.56476945;47.29598141
8591049;Zürich Auzelg;Zürich;261.0;ZH;8.56883908;47.41709058
8591442;Zürich Zoo;Zürich;261.0;ZH;8.57155656;47.38157074
8591325;Zürich Roswiesen;Zürich;261.0;ZH;8.57697967;47.40295287
8591142;Zürich Friedhof Enzenbühl;Zürich;261.0;ZH;8.58027763;47.35097306
8503308;Kloten;Kloten;62.0;ZH;8.5838097;47.44860729
8591263;Zürich Luchswiesen;Zürich;261.0;ZH;8.58587478;47.40687674
8518243;Beringerfeld;Beringen;2932.0;SH;8.59218197;47.69537157
8587652;Zürich Altried;Zürich;261.0;ZH;8.59100205;47.40562938
8591194;Zürich Hirzenbach;Zürich;261.0;ZH;8.59116263;47.40325306
8503078;Waldburg;Zollikon;161.0;ZH;8.59302;47.34546999
8591065;Stettbach Bahnhof;Zürich;261.0;ZH;8.59613366;47.39727557
8503111;Winkel am Zürichsee;Erlenbach (ZH);151.0;ZH;8.59898831;47.29720785
8590578;Wallisellen Neugut;Wallisellen;69.0;ZH;8.60427405;47.40483065
8505165;Andermatt;Andermatt;1202.0;UR;8.59327001;46.63689
8503128;Dübendorf;Dübendorf;191.0;ZH;8.62342174;47.40008036
8505111;Sisikon;Sisikon;1217.0;UR;8.62074873;46.94925402
8506042;Pfungen;Pfungen;224.0;ZH;8.64663394;47.51603841
8505114;Erstfeld;Erstfeld;1206.0;UR;8.65045464;46.82033942
8503072;Neuhaus bei Hinteregg;Egg;192.0;ZH;8.67402971;47.31278271
8503290;Biberegg;Rothenthurm;1370.0;SZ;8.669130000000001;47.09330999
8506043;Winterthur Wülflingen;Winterthur;230.0;ZH;8.68092954;47.50643585
8503286;Samstagern;Richterswil;138.0;ZH;8.68597;47.19153998
8506045;Hettlingen;Hettlingen;221.0;ZH;8.69483415;47.54544145
8503207;Richterswil;Richterswil;138.0;ZH;8.70748136;47.20837498
8503294;Riedmatt SZ;Wollerau;1323.0;SZ;8.712010000000001;47.19674998
8503107;Stäfa;Stäfa;158.0;ZH;8.72165287;47.24052718
8503295;Wilen bei Wollerau;Freienbach;1322.0;SZ;8.73431001;47.19757999
8506001;Winterthur Grüze;Winterthur;230.0;ZH;8.7510552;47.49875471
8506022;Thalheim-Altikon;Thalheim an der Thur;39.0;ZH;8.75764324;47.56962135
8516218;Winterthur Hegi;Winterthur;230.0;ZH;8.76894715;47.50148547
8506024;Stammheim;Stammheim;292.0;ZH;8.78875014;47.634881299999996
8506018;Rickenbach-Attikon;Rickenbach (ZH);225.0;ZH;8.78917504;47.53535738
8505874;Colmegna;;;;8.75188302;46.02476186
8505204;Faido;Faido;5072.0;TI;8.79071011;46.4830755
8505471;Locarno S. Antonio;Locarno;5113.0;TI;8.78630005;46.1688749
8505400;Locarno;Muralto;5120.0;TI;8.801360899999999;46.17242019
8503113;Blumenau;Rapperswil-Jona;3340.0;SG;8.84240509;47.22367067
8506012;Guntershausen;Aadorf;4551.0;TG;8.9170321;47.47412136
8503222;Schübelbach-Buttikon;Schübelbach;1346.0;SZ;8.93878097;47.17638982
8506011;Eschlikon;Eschlikon;4724.0;TG;8.9585362;47.46149106
8505218;Taverne-Torricella;Torricella-Taverne;5227.0;TI;8.93033043;46.05668556
8505301;Lugano-Paradiso;Paradiso;5210.0;TI;8.94628001;45.98895
8505391;Lugano FLP;Lugano;5192.0;TI;8.94760001;46.004490000000004
8505214;Giubiasco;Bellinzona;5002.0;TI;9.00360009;46.17381273
8505306;Balerna;Balerna;5242.0;TI;9.00503561;45.84674506
8503236;Luchsingen-Hätzingen;Glarus Süd;1631.0;GL;9.03902249;46.96507069
8503226;Nieder- und Oberurnen;Glarus Nord;1630.0;GL;9.06239375;47.12236168
8505307;Chiasso;Chiasso;5250.0;TI;9.03144956;45.83216803
8503227;Näfels-Mollis;Glarus Nord;1630.0;GL;9.06995694;47.09871927
8503232;Mitlödi;Glarus Süd;1631.0;GL;9.08121194;47.01013161
8506118;Triboltingen;Ermatingen;4646.0;TG;9.10876054;47.66289596
8506195;Siegershausen;Kemmental;4666.0;TG;9.16823;47.61092
8509418;Mühlehorn;Glarus Nord;1630.0;GL;9.17301805;47.11784023
